ds,trend,confirmed,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,holidays,holidays_lower,holidays_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,country
2021-01-24,258.3375586690922,630,575,681,258.3375586690922,258.3375586690922,0.0,0.0,0.0,0.0,0.0,0.0,1.4396687305130713,1.4396687305130713,1.4396687305130713,1.4396687305130713,1.4396687305130713,1.4396687305130713,Albania
2021-01-25,261.12026631700854,575,523,627,261.12026631700854,261.12026631700854,0.0,0.0,0.0,0.0,0.0,0.0,1.2034989689442486,1.2034989689442486,1.2034989689442486,1.2034989689442486,1.2034989689442486,1.2034989689442486,Albania
2021-01-26,263.9029739649249,687,631,738,263.9029739649249,263.90608899852464,0.0,0.0,0.0,0.0,0.0,0.0,1.6017544367386565,1.6017544367386565,1.6017544367386565,1.6017544367386565,1.6017544367386565,1.6017544367386565,Albania
2021-01-27,266.68568161284145,695,646,749,266.4934675301024,267.19280947258125,0.0,0.0,0.0,0.0,0.0,0.0,1.6066222674514077,1.6066222674514077,1.6066222674514077,1.6066222674514077,1.6066222674514077,1.6066222674514077,Albania
2021-01-28,269.4683892607578,723,672,772,268.89984969246206,270.61384803220983,0.0,0.0,0.0,0.0,0.0,0.0,1.6840362426406181,1.6840362426406181,1.6840362426406181,1.6840362426406181,1.6840362426406181,1.6840362426406181,Albania
2021-01-29,272.25109690867436,746,698,799,270.97741644840954,274.15656218733676,0.0,0.0,0.0,0.0,0.0,0.0,1.7415200150979582,1.7415200150979582,1.7415200150979582,1.7415200150979582,1.7415200150979582,1.7415200150979582,Albania
2021-01-30,275.03380455659095,673,620,729,272.8165910246768,277.92848305239437,0.0,0.0,0.0,0.0,0.0,0.0,1.4484738212784263,1.4484738212784263,1.4484738212784263,1.4484738212784263,1.4484738212784263,1.4484738212784263,Albania
2021-01-24,4120.265440115431,6865,6124,7692,4120.265440115431,4120.265440115431,0.0,0.0,0.0,0.0,0.0,0.0,0.6662396874527209,0.6662396874527209,0.6662396874527209,0.6662396874527209,0.6662396874527209,0.6662396874527209,Argentina
2021-01-25,4080.7542296554334,8314,7539,9141,4080.754229655433,4080.754229655433,0.0,0.0,0.0,0.0,0.0,0.0,1.03733235280489,1.03733235280489,1.03733235280489,1.03733235280489,1.03733235280489,1.03733235280489,Argentina
2021-01-26,4041.243019195438,10788,9985,11597,4039.8206140471384,4041.320761960937,0.0,0.0,0.0,0.0,0.0,0.0,1.6694619372416868,1.6694619372416868,1.6694619372416868,1.6694619372416868,1.6694619372416868,1.6694619372416868,Argentina
2021-01-27,4001.731808735443,10866,10084,11607,3993.462049156085,4008.6761138097672,0.0,0.0,0.0,0.0,0.0,0.0,1.7152210742387008,1.7152210742387008,1.7152210742387008,1.7152210742387008,1.7152210742387008,1.7152210742387008,Argentina
2021-01-28,3962.220598275447,11069,10276,11859,3942.330949564072,3979.055438418921,0.0,0.0,0.0,0.0,0.0,0.0,1.7936835171579284,1.7936835171579284,1.7936835171579284,1.7936835171579284,1.7936835171579284,1.7936835171579284,Argentina
2021-01-29,3922.70938781545,10812,9949,11577,3886.8769752037683,3957.7340144745363,0.0,0.0,0.0,0.0,0.0,0.0,1.7563540883217295,1.7563540883217295,1.7563540883217295,1.7563540883217295,1.7563540883217295,1.7563540883217295,Argentina
2021-01-30,3883.1981773554526,8330,7493,9158,3829.5460548016704,3934.089201537158,0.0,0.0,0.0,0.0,0.0,0.0,1.1452247767565096,1.1452247767565096,1.1452247767565096,1.1452247767565096,1.1452247767565096,1.1452247767565096,Argentina
2021-01-24,4.113909541251974,12,-45,68,4.113909541251974,4.113909541251974,0.0,0.0,0.0,0.0,0.0,0.0,2.0192111947413935,2.0192111947413935,2.0192111947413935,2.0192111947413935,2.0192111947413935,2.0192111947413935,Australia
2021-01-25,4.116675345123757,11,-46,71,4.116675345123757,4.116675345123757,0.0,0.0,0.0,0.0,0.0,0.0,1.790479375854672,1.790479375854672,1.790479375854672,1.790479375854672,1.790479375854672,1.790479375854672,Australia
2021-01-26,4.119441148995539,14,-46,71,4.063493783171356,4.119441148995539,0.0,0.0,0.0,0.0,0.0,0.0,2.303678300053915,2.303678300053915,2.303678300053915,2.303678300053915,2.303678300053915,2.303678300053915,Australia
